[Tick #0] Attacker: [DIR: 3; POS: 54,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #35] Attacker: [DIR: 3; POS: 31,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #36] Attacker: [DIR: 3; POS: 30,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #37] Attacker: [DIR: 3; POS: 29,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #38] Attacker: [DIR: 3; POS: 28,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #39] Attacker: [DIR: 3; POS: 27,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #40] Attacker: [DIR: 3; POS: 26,80]; Defender #0: [DIR: 3; POS: 54,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #41] Attacker: [DIR: 3; POS: 25,80]; Defender #0: [DIR: 3; POS: 53,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #42] Attacker: [DIR: 3; POS: 24,80]; Defender #0: [DIR: 3; POS: 52,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #43] Attacker: [DIR: 3; POS: 23,80]; Defender #0: [DIR: 3; POS: 51,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #44] Attacker: [DIR: 3; POS: 22,80]; Defender #0: [DIR: 3; POS: 50,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #45] Attacker: [DIR: 3; POS: 21,80]; Defender #0: [DIR: 3; POS: 49,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #46] Attacker: [DIR: 3; POS: 20,80]; Defender #0: [DIR: 3; POS: 48,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #47] Attacker: [DIR: 3; POS: 19,80]; Defender #0: [DIR: 3; POS: 47,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #48] Attacker: [DIR: 3; POS: 18,80]; Defender #0: [DIR: 3; POS: 46,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #49] Attacker: [DIR: 3; POS: 17,80]; Defender #0: [DIR: 3; POS: 45,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #50] Attacker: [DIR: 3; POS: 16,80]; Defender #0: [DIR: 3; POS: 44,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #51] Attacker: [DIR: 3; POS: 15,80]; Defender #0: [DIR: 3; POS: 43,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #52] Attacker: [DIR: 3; POS: 14,80]; Defender #0: [DIR: 3; POS: 42,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #53] Attacker: [DIR: 3; POS: 13,80]; Defender #0: [DIR: 3; POS: 41,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #54] Attacker: [DIR: 0; POS: 12,80]; Defender #0: [DIR: 3; POS: 40,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #55] Attacker: [DIR: 0; POS: 12,79]; Defender #0: [DIR: 3; POS: 39,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #56] Attacker: [DIR: 0; POS: 12,78]; Defender #0: [DIR: 3; POS: 38,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #57] Attacker: [DIR: 0; POS: 12,77]; Defender #0: [DIR: 3; POS: 37,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #58] Attacker: [DIR: 0; POS: 12,76]; Defender #0: [DIR: 3; POS: 36,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #59] Attacker: [DIR: 0; POS: 12,75]; Defender #0: [DIR: 3; POS: 35,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #60] Attacker: [DIR: 0; POS: 12,74]; Defender #0: [DIR: 3; POS: 34,44]; Defender #1: [DIR: 1; POS: 54,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #61] Attacker: [DIR: 0; POS: 12,73]; Defender #0: [DIR: 3; POS: 33,44]; Defender #1: [DIR: 1; POS: 55,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #62] Attacker: [DIR: 0; POS: 12,72]; Defender #0: [DIR: 3; POS: 32,44]; Defender #1: [DIR: 1; POS: 56,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #63] Attacker: [DIR: 0; POS: 12,71]; Defender #0: [DIR: 3; POS: 31,44]; Defender #1: [DIR: 1; POS: 57,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #64] Attacker: [DIR: 0; POS: 12,70]; Defender #0: [DIR: 3; POS: 30,44]; Defender #1: [DIR: 1; POS: 58,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #65] Attacker: [DIR: 0; POS: 12,69]; Defender #0: [DIR: 3; POS: 29,44]; Defender #1: [DIR: 1; POS: 59,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #66] Attacker: [DIR: 0; POS: 12,68]; Defender #0: [DIR: 3; POS: 28,44]; Defender #1: [DIR: 1; POS: 60,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #67] Attacker: [DIR: 0; POS: 12,67]; Defender #0: [DIR: 3; POS: 27,44]; Defender #1: [DIR: 1; POS: 61,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #68] Attacker: [DIR: 0; POS: 12,66]; Defender #0: [DIR: 3; POS: 26,44]; Defender #1: [DIR: 1; POS: 62,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #69] Attacker: [DIR: 0; POS: 12,65]; Defender #0: [DIR: 3; POS: 25,44]; Defender #1: [DIR: 1; POS: 63,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #70] Attacker: [DIR: 0; POS: 12,64]; Defender #0: [DIR: 3; POS: 24,44]; Defender #1: [DIR: 1; POS: 64,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #71] Attacker: [DIR: 0; POS: 12,63]; Defender #0: [DIR: 3; POS: 23,44]; Defender #1: [DIR: 1; POS: 65,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #72] Attacker: [DIR: 0; POS: 12,62]; Defender #0: [DIR: 3; POS: 22,44]; Defender #1: [DIR: 1; POS: 66,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #73] Attacker: [DIR: 0; POS: 12,61]; Defender #0: [DIR: 3; POS: 21,44]; Defender #1: [DIR: 1; POS: 67,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #74] Attacker: [DIR: 0; POS: 12,60]; Defender #0: [DIR: 3; POS: 20,44]; Defender #1: [DIR: 1; POS: 68,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #75] Attacker: [DIR: 0; POS: 12,59]; Defender #0: [DIR: 3; POS: 19,44]; Defender #1: [DIR: 1; POS: 69,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #76] Attacker: [DIR: 0; POS: 12,58]; Defender #0: [DIR: 3; POS: 18,44]; Defender #1: [DIR: 1; POS: 70,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #77] Attacker: [DIR: 0; POS: 12,57]; Defender #0: [DIR: 3; POS: 17,44]; Defender #1: [DIR: 1; POS: 71,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #78] Attacker: [DIR: 0; POS: 12,56]; Defender #0: [DIR: 3; POS: 16,44]; Defender #1: [DIR: 1; POS: 72,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #79] Attacker: [DIR: 0; POS: 12,55]; Defender #0: [DIR: 3; POS: 15,44]; Defender #1: [DIR: 1; POS: 73,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #80] Attacker: [DIR: 0; POS: 12,54]; Defender #0: [DIR: 3; POS: 14,44]; Defender #1: [DIR: 1; POS: 74,44]; Defender #2: [DIR: 3; POS: 54,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #81] Attacker: [DIR: 0; POS: 12,53]; Defender #0: [DIR: 3; POS: 13,44]; Defender #1: [DIR: 1; POS: 75,44]; Defender #2: [DIR: 3; POS: 53,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #82] Attacker: [DIR: 0; POS: 12,52]; Defender #0: [DIR: 0; POS: 12,44]; Defender #1: [DIR: 1; POS: 76,44]; Defender #2: [DIR: 3; POS: 52,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #83] Attacker: [DIR: 0; POS: 12,51]; Defender #0: [DIR: 0; POS: 12,43]; Defender #1: [DIR: 1; POS: 77,44]; Defender #2: [DIR: 3; POS: 51,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #84] Attacker: [DIR: 0; POS: 12,50]; Defender #0: [DIR: 0; POS: 12,42]; Defender #1: [DIR: 1; POS: 78,44]; Defender #2: [DIR: 3; POS: 50,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #85] Attacker: [DIR: 0; POS: 12,49]; Defender #0: [DIR: 0; POS: 12,41]; Defender #1: [DIR: 1; POS: 79,44]; Defender #2: [DIR: 3; POS: 49,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #86] Attacker: [DIR: 0; POS: 12,48]; Defender #0: [DIR: 0; POS: 12,40]; Defender #1: [DIR: 1; POS: 80,44]; Defender #2: [DIR: 3; POS: 48,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #87] Attacker: [DIR: 0; POS: 12,47]; Defender #0: [DIR: 0; POS: 12,39]; Defender #1: [DIR: 1; POS: 81,44]; Defender #2: [DIR: 3; POS: 47,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #88] Attacker: [DIR: 0; POS: 12,46]; Defender #0: [DIR: 0; POS: 12,38]; Defender #1: [DIR: 1; POS: 82,44]; Defender #2: [DIR: 3; POS: 46,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #89] Attacker: [DIR: 0; POS: 12,45]; Defender #0: [DIR: 0; POS: 12,37]; Defender #1: [DIR: 1; POS: 83,44]; Defender #2: [DIR: 3; POS: 45,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #90] Attacker: [DIR: 0; POS: 12,44]; Defender #0: [DIR: 0; POS: 12,36]; Defender #1: [DIR: 1; POS: 84,44]; Defender #2: [DIR: 3; POS: 44,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #91] Attacker: [DIR: 0; POS: 12,43]; Defender #0: [DIR: 0; POS: 12,35]; Defender #1: [DIR: 1; POS: 85,44]; Defender #2: [DIR: 3; POS: 43,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #92] Attacker: [DIR: 0; POS: 12,42]; Defender #0: [DIR: 0; POS: 12,34]; Defender #1: [DIR: 1; POS: 86,44]; Defender #2: [DIR: 3; POS: 42,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #93] Attacker: [DIR: 0; POS: 12,41]; Defender #0: [DIR: 0; POS: 12,33]; Defender #1: [DIR: 1; POS: 87,44]; Defender #2: [DIR: 3; POS: 41,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #94] Attacker: [DIR: 0; POS: 12,40]; Defender #0: [DIR: 3; POS: 12,32]; Defender #1: [DIR: 1; POS: 88,44]; Defender #2: [DIR: 3; POS: 40,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #95] Attacker: [DIR: 0; POS: 12,39]; Defender #0: [DIR: 3; POS: 11,32]; Defender #1: [DIR: 1; POS: 89,44]; Defender #2: [DIR: 3; POS: 39,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #96] Attacker: [DIR: 0; POS: 12,38]; Defender #0: [DIR: 3; POS: 10,32]; Defender #1: [DIR: 1; POS: 90,44]; Defender #2: [DIR: 3; POS: 38,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #97] Attacker: [DIR: 0; POS: 12,37]; Defender #0: [DIR: 3; POS: 9,32]; Defender #1: [DIR: 1; POS: 91,44]; Defender #2: [DIR: 3; POS: 37,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #98] Attacker: [DIR: 0; POS: 12,36]; Defender #0: [DIR: 3; POS: 8,32]; Defender #1: [DIR: 1; POS: 92,44]; Defender #2: [DIR: 2; POS: 36,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #99] Attacker: [DIR: 0; POS: 12,35]; Defender #0: [DIR: 3; POS: 7,32]; Defender #1: [DIR: 1; POS: 93,44]; Defender #2: [DIR: 2; POS: 36,45]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #100] Attacker: [DIR: 0; POS: 12,34]; Defender #0: [DIR: 3; POS: 6,32]; Defender #1: [DIR: 1; POS: 94,44]; Defender #2: [DIR: 2; POS: 36,46]; Defender #3: [DIR: 1; POS: 54,44]; 
[Tick #101] Attacker: [DIR: 0; POS: 12,33]; Defender #0: [DIR: 3; POS: 5,32]; Defender #1: [DIR: 1; POS: 95,44]; Defender #2: [DIR: 2; POS: 36,47]; Defender #3: [DIR: 1; POS: 55,44]; 
[Tick #102] Attacker: [DIR: 0; POS: 12,32]; Defender #0: [DIR: 3; POS: 4,32]; Defender #1: [DIR: 0; POS: 96,44]; Defender #2: [DIR: 2; POS: 36,48]; Defender #3: [DIR: 1; POS: 56,44]; 
[Tick #103] Attacker: [DIR: 0; POS: 12,31]; Defender #0: [DIR: 3; POS: 3,32]; Defender #1: [DIR: 0; POS: 96,43]; Defender #2: [DIR: 2; POS: 36,49]; Defender #3: [DIR: 1; POS: 57,44]; 
[Tick #104] Attacker: [DIR: 0; POS: 12,30]; Defender #0: [DIR: 3; POS: 2,32]; Defender #1: [DIR: 0; POS: 96,42]; Defender #2: [DIR: 2; POS: 36,50]; Defender #3: [DIR: 1; POS: 58,44]; 
[Tick #105] Attacker: [DIR: 0; POS: 12,29]; Defender #0: [DIR: 3; POS: 1,32]; Defender #1: [DIR: 0; POS: 96,41]; Defender #2: [DIR: 2; POS: 36,51]; Defender #3: [DIR: 1; POS: 59,44]; 
[Tick #106] Attacker: [DIR: 0; POS: 12,28]; Defender #0: [DIR: 3; POS: 0,32]; Defender #1: [DIR: 0; POS: 96,40]; Defender #2: [DIR: 2; POS: 36,52]; Defender #3: [DIR: 1; POS: 60,44]; 
[Tick #107] Attacker: [DIR: 0; POS: 12,27]; Defender #0: [DIR: 3; POS: 108,32]; Defender #1: [DIR: 0; POS: 96,39]; Defender #2: [DIR: 2; POS: 36,53]; Defender #3: [DIR: 1; POS: 61,44]; 
[Tick #108] Attacker: [DIR: 0; POS: 12,26]; Defender #0: [DIR: 3; POS: 107,32]; Defender #1: [DIR: 0; POS: 96,38]; Defender #2: [DIR: 2; POS: 36,54]; Defender #3: [DIR: 1; POS: 62,44]; 
[Tick #109] Attacker: [DIR: 0; POS: 12,25]; Defender #0: [DIR: 3; POS: 106,32]; Defender #1: [DIR: 0; POS: 96,37]; Defender #2: [DIR: 2; POS: 36,55]; Defender #3: [DIR: 1; POS: 63,44]; 
[Tick #110] Attacker: [DIR: 0; POS: 12,24]; Defender #0: [DIR: 3; POS: 105,32]; Defender #1: [DIR: 0; POS: 96,36]; Defender #2: [DIR: 3; POS: 36,56]; Defender #3: [DIR: 1; POS: 64,44]; 
[Tick #111] Attacker: [DIR: 0; POS: 12,23]; Defender #0: [DIR: 3; POS: 104,32]; Defender #1: [DIR: 0; POS: 96,35]; Defender #2: [DIR: 3; POS: 35,56]; Defender #3: [DIR: 1; POS: 65,44]; 
